State,Impaired Driving Death Rate
United States,3.3
Alabama,5.5
Alaska,
Arizona,3.6
Arkansas,5.1
California,2.0
Colorado,2.5
Connecticut,2.4
Delaware,3.8
District of Columbia,
Florida,3.7
Georgia,3.0
Hawaii,3.8
Idaho,3.6
Illinois,2.5
Indiana,3.6
Iowa,3.2
Kansas,3.4
Kentucky,4.0
Louisiana,5.2
Maine,3.8
Maryland,2.7
Massachusetts,1.8
Michigan,2.7
Minnesota,2.1
Mississippi,6.1
Missouri,4.8
Montana,9.4
Nebraska,4.0
Nevada,2.8
New Hampshire,2.4
New Jersey,1.8
New Mexico,4.8
New York,1.7
North Carolina,4.2
North Dakota,11.3
Ohio,3.5
Oklahoma,5.6
Oregon,2.2
Pennsylvania,3.3
Rhode Island,2.3
South Carolina,7.6
South Dakota,5.7
Tennessee,4.6
Texas,4.9
Utah,1.2
Vermont,3.4
Virginia,2.5
Washington,2.1
West Virginia,5.6
Wisconsin,3.6
Wyoming,7.1
